==============================================================================
REPORTE DE DIMENSIONES SIN RESOLVER — DELCA ERP
Generado: 2026-08-24 20:01
Total llantas afectadas: 1637
==============================================================================

DEFINICIÓN: llantas cuyo campo 'dimension' tiene texto (ej. '9.5R17.5')
pero 'dimension_id' quedó NULL — el parser del importador no reconoció
el formato y no se vincularon al catálogo 'dimensiones_llanta'.
Consecuencia: no son agrupables por catálogo y no reciben precio/prep
desde 'precios_producto' (que se vincula por dimension_id + diseno_id).

------------------------------------------------------------------------------
RESUMEN POR FORMATO DE DIMENSIÓN
------------------------------------------------------------------------------
Dimensión              Cantidad       %   Ejemplo tiquetes
9.5R17.5                   1391   85.0%   J10004, J10005, J10006
7.50R16                     106    6.5%   J10214, J10710, J10893
215/75R16C                   35    2.1%   J10250, J10251, J1026
7.00R15                      30    1.8%   J11449, J14841, J14842
7.00R16                      26    1.6%   J10712, J11545, J11546
31X10.50R15                  14    0.9%   J102, J11773, J11774
12-22.5                       7    0.4%   J10166, J12161, J12364
8.25R16                       5    0.3%   J20855, J3972, J3973
12-16.5                       3    0.2%   J1882, J2025, J818
295/80R22.5U                  3    0.2%   J10456, J14223, J14377
215/75-15                     2    0.1%   J11398, J11399
215/75R17.5U                  2    0.1%   J15532, J20311
295/75R22.5U                  2    0.1%   J22814, J23059
295/80R22.5                   2    0.1%   1258, DEL-001
7.50R15                       2    0.1%   J8695, J8696
8.5R17.5                      2    0.1%   J3243, J4467
H78-15                        2    0.1%   J2410, J4631
11-22.5                       1    0.1%   J2155
295/80r22.5                   1    0.1%   1269
7.50-16U                      1    0.1%   J15744

------------------------------------------------------------------------------
DETALLE COMPLETO (tiquete | dimension | estado | ubicacion | marca)
------------------------------------------------------------------------------
J2155 | 11-22.5 | REPARADA | CLIENTE | GDY
J1882 | 12-16.5 | REENCAUCHADA | CLIENTE | CEAT
J2025 | 12-16.5 | REENCAUCHADA | CLIENTE | CARG
J818 | 12-16.5 | REPARADA | CLIENTE | PRX
J10166 | 12-22.5 | REPARADA | CLIENTE | OVAT
J12161 | 12-22.5 | APTA | PRODUCCION | FORM
J12364 | 12-22.5 | APTA | PRODUCCION | GDY
J12366 | 12-22.5 | APTA | PRODUCCION | GDY
J14585 | 12-22.5 | REPARADA | CLIENTE | PRL
J532 | 12-22.5 | APTA | PRODUCCION | LCAU
J533 | 12-22.5 | APTA | PRODUCCION | LCAU
J11398 | 215/75-15 | REENCAUCHADA | CLIENTE | HNK
J11399 | 215/75-15 | REENCAUCHADA | CLIENTE | HNK
J10250 | 215/75R16C | APTA | PLANTA | GTR
J10251 | 215/75R16C | REENCAUCHADA | CLIENTE | MXM
J1026 | 215/75R16C | REENCAUCHADA | CLIENTE | BOTO
J1027 | 215/75R16C | REENCAUCHADA | CLIENTE | BOTO
J1216 | 215/75R16C | REENCAUCHADA | CLIENTE | BFG
J1217 | 215/75R16C | APTA | PRODUCCION | BOTO
J1218 | 215/75R16C | APTA | PRODUCCION | BFG
J12246 | 215/75R16C | REENCAUCHADA | CLIENTE | HIFL
J13340 | 215/75R16C | REENCAUCHADA | CLIENTE | BOTO
J13341 | 215/75R16C | REENCAUCHADA | CLIENTE | BOTO
J13347 | 215/75R16C | REENCAUCHADA | CLIENTE | KEND
J13720 | 215/75R16C | REENCAUCHADA | CLIENTE | MCH
J13721 | 215/75R16C | APTA | PRODUCCION | BOTO
