REPORTE DE COMBINACIONES SIN COBERTURA DE PRECIOS
Fecha: 2026-08-25 10:44
Combinaciones distintas: 362 | Llantas afectadas: 11181

Diseño             Dimensión         Llantas
----------------------------------------------
DV-RT4             295/80 R22.5         1273
REP                295/80 R22.5         1147
DVRL               295/80 R22.5          929
PBA61              295/80 R22.5          661
VR250              235/75 R17.5          372
PBA10              295/80 R22.5          311
VT50L              7 R16                 282
VM530L             9.5 R17.5             258
DY                 295/80 R22.5          253
PBA43              215/75 R17.5          227
VDE2               295/80 R22.5          214
PBA60              9.5 R17.5             206
PBD63B             7 R16                 191
VT510              12 R22.5              178
PBA11              295/80 R22.5          178
VZE1               205/70 R15            157
VT50L              9.5 R17.5             156
VZE1               9.5 R17.5             144
REP                215/75 R17.5          133
DH                 295/80 R22.5          132
VZE1               195/75 R16            129
PBA43              205/75 R17.5          116
DVUM3B             235/75 R17.5          114
DV-RT2             295/80 R22.5          109
REP                235/75 R17.5          108
VT50L              7 R15                  95
PBA43              205/70 R15             84
PBA43              9.5 R17.5              83
DR2                235/75 R17.5           78
DR1                215/75 R17.5           66
REP                12 R22.5               64
VZE1               225/70 R15             63
VFS                235/75 R15             62
REP                9.5 R17.5              61
PBD63B             7 R15                  59
RZT50L             7 R16                  59
PBD10              295/80 R22.5           57
PBA43              235/75 R17.5           48
PBA60              205/70 R15             48
VDE1               9.5 R17.5              45
PBA60              225/75 R16             43
DVUM3B             215/75 R17.5           43
VU                 205/75 R16             41
JT                 295/80 R22.5           40
VFS                205/70 R15             40
PBA43              205/75 R16             39
VT50L              7.5 R16                38
VM530L             205/70 R15             38
PBD63B             9.5 R17.5              36
VZY2               12 R22.5               34
RZE2               295/80 R22.5           33
VM530L             225/70 R15             33
RZT50L             7 R15                  33
VZY2               275/80 R22.5           31
REP                275/80 R22.5           30
VDE2               275/80 R22.5           30
VR250              245/70 R19.5           30
PBA43              225/70 R15             28
REP                245/70 R19.5           26
VZE1               195/70 R15             24
VU                 205/70 R15             24
VZE1               225/65 R16             22
VFS                215/75 R15             22
VM530L             195/75 R16             22
PBD63B             7.5 R16                22
PBA10              235/75 R17.5           22
PBA43              215/75 R16             22
VRL1               425/65 R22.5           22
DR1                205/75 R17.5           21
VDE2               275/70 R22.5           19
PBA43              225/75 R16             19
DVUM3B             9.5 R17.5              19
PBD63B             8 R16                  18
REP                205/75 R17.5           17
PBA60              195/75 R16             16
VM530L             215/75 R15             15
DR1                9.5 R17.5              15
VZE1               205/70 R16             14
DV-RT2             12 R22.5               14
DR2                245/70 R19.5           14
DVMM               12 R22.5               14
VZE1               215/70 R15             13
VU                 225/75 R16             13
SC1                7 R16                  13
VM530L             215/75 R16C            12
VZY2               275/70 R22.5           12
VM530L             245/75 R16             12
VR250              9.5 R17.5              12
VFS                225/70 R15             12
VR250              215/75 R17.5           11
VT50L              8 R16                  11
VM530L             7 R16                  11
VFS                215/65 R16             11
PBA11              275/80 R22.5           11
PBA43              195/75 R16             11
VFS                245/75 R16             10
DV-RT4             315/80 R22.5           10
VZE1               205 R16                10
VM530L             7.5 R16                10
MTM                295/80 R22.5           10
VFS                235/75 R17.5           10
PBA10              275/80 R22.5           10
PBA43              205/75 R15             10
PBA60              245/75 R16             10
RDE1               215/75 R17.5           10
VR250              265/70 R19.5            9
VZE1               215/65 R16              9
VM530L             265/70 R16              9
PBA61              315/80 R22.5            9
PBA60              225/70 R15              9
PBA61              275/80 R22.5            9
VU                 225/70 R15              9
DR1                205/75 R16              9
VRL1               445/65 R22.5            9
VM530L             215/70 R15              8
VT510              315/80 R22.5            8
VZE1               215/75 R16C             8
VZE1               235/60 R15              8
REP                7 R16                   8
VFS                225/70 R16              8
REP                295/75 R22.5            8
VFS                265/70 R16              8
VFS                235/70 R16              8
PBA10              245/70 R19.5            8
PBA60              7 R16                   8
PBA43              225/65 R16              8
PBD63B             10 R20                  8
DR1                205/70 R15              8
VU                 195/75 R16              8
DV-RT4             12 R22.5                7
REP                195/75 R16              7
VWHL               11 R20                  7
VZE1               7 R16                   7
REP                205/70 R15              7
VFS                255/70 R16              7
PBA43              195/70 R15              7
PBA60              315/80 R22.5            7
DR1                235/75 R17.5            7
RZT50L             235/75 R17.5            6
VZY2               245/70 R19.5            6
VR250              295/80 R22.5            6
VDE2               245/70 R19.5            6
VT50L              8 R20                   6
REP                205/75 R16              6
VZY2               315/80 R22.5            6
VM530L             12 R22.5                6
PBA60              265/70 R16              6
VFS                235/60 R16              6
REP                275/70 R22.5            6
DVRL               315/80 R22.5            6
VFS                215/75 R17.5            6
PBA43              215/75 R15              6
PBT14-W            385/65 R22.5            6
VT50L              255/70 R16              6
PBA10              12 R22.5                6
REP                310/80 R22.5            6
PBA60              265/70 R19.5            6
VU                 235/60 R16              6
VU                 245/75 R16              6
VM530L             7 R15                   6
DR1                225/70 R15              6
DR1                225/65 R16              6
VZE2               11 R22.5                6
DVUM3B             245/70 R19.5            6
VZY2               11 R22.5                5
REP                7.5 R16                 5
VM530L             235/70 R16              5
VM530L             265/75 R16              5
PBT14-W            425/65 R22.5            5
RZM530L            205/75 R16              5
PBA10              275/70 R22.5            5
PBA43              215/65 R16              5
PBA60              7.5 R16                 5
PBD10              275/80 R22.5            5
VD1                215/75 R17.5            5
VR250              235/75 R15              4
VDY                12 R22.5                4
RZE2               275/80 R22.5            4
VWHL               10 R20                  4
VZH                12 R22.5                4
VFS                205/65 R15              4
VT50L              10 R20                  4
VM530L             225/70 R16              4
VM530L             215/65 R16              4
VCB                7 R15                   4
VM530L             235/60 R15              4
VM530L             305/40 R22              4
VT50L              6 R16                   4
VCB                9 R20                   4
DV-RT4             275/80 R22.5            4
VFS                225/65 R16              4
VDE2               11 R22.5                4
DVRM               215/75 R17.5            4
RZM530L            215/75 R17.5            4
VM530L             265/65 R17              4
VFS                235/60 R15              4
VU                 215/65 R16              4
PBA43              205/70 R16              4
VU                 215/70 R15              4
VR250              11 R22.5                4
PBD10              12 R22.5                4
PBA43              235/60 R16              4
PBD63B             6 R16                   4
VZE1               7.5 R16                 4
PBA60              305/70 R17              4
DV-RT2             11 R22.5                4
DVMM               315/80 R22.5            4
DR1                225/75 R16              4
PBA60              215/70 R15              4
VFS                10.5 R15                3
VM530L             315/80 R22.5            3
VM530L             235/60 R16              3
VM530L             215/70 R16              3
REP                11 R22.5                3
VDE2               315/80 R22.5            3
VZY2               295/75 R22.5            3
VFS                265/65 R17              3
VFS                235/75 R16              3
PBA60              215/65 R16              3
PBA60              205/70 R16              3
PBD60              315/80 R22.5            3
PBA60              215/70 R17.5            3
VT50L              265/65 R17              3
PBD60              310/80 R22.5            3
PBA60              215/75 R16C             3
PBA43              215/75 R16C             3
PBA10              265/65 R17              3
PBA60              12 R22.5                3
PBA60              225/70 R16              3
PBA60              235/60 R16              3
REP                215/75 R16              3
DY                 315/80 R22.5            3
DY                 12 R22.5                3
PBD10              11 R22.5                3
TS                 295/80 R22.5            3
VU                 215/75 R15              3
RZT50L             7.5 R16                 3
RZT50L             205/75 R17.5            2
V167               235/75 R17.5            2
VCB                265/65 R17              2
VZH                295/80 R22.5            2
VCB                205/70 R15              2
JB                 6 R16                   2
VZE1               205/65 R15              2
VM530L             195/70 R15              2
VT510              12 R16.5                2
VR250              10 R20                  2
JT                 7 R15                   2
VT50L              245/75 R16              2
VT50L              9 R20                   2
VM530L             8.5 R17.5               2
DVRL               275/70 R22.5            2
VT50L              8.25 R16                2
VZE1               235/60 R16              2
REP                225/65 R16              2
VZY2               13 R22.5                2
REP                265/70 R19.5            2
REP                315/80 R22.5            2
VDE2               12 R22.5                2
VFS                205/75 R15              2
VZE1               195 R15                 2
VZE1               225/70 R16              2
PBA43              215/70 R15              2
VFS                235/85 R16              2
PBA60              225/75 R17.5            2
PBT14-W            315/80 R22.5            2
VZE1               195/60 R15              2
VZE1               215/70 R17.5            2
VM530L             205/70 R16              2
VU                 215/65 R15              2
RZM530L            205/75 R17.5            2
PBA60              225/65 R16              2
VU                 205/75 R17.5            2
PBA43              195/65 R15              2
PBD63B             9 R20                   2
VU                 205/70 R16              2
PBA60              315/70 R22.5            2
PBA61              310/80 R22.5            2
PBA43              235/75 R15              2
DS                 265/70 R16              2
DR1                235/75 R16              2
DR1                195/60 R15              2
PBA60              255/70 R16              2
REP                225/70 R15              2
PBD60              275/70 R22.5            2
DR2                10 R20                  2
REP                225/75 R16              2
DR2                10.5 R15                2
DR1                225/70 R16              2
DR1                215/75 R15              2
DR1                235/60 R16              2
RDE1               235/75 R17.5            2
VM530L             10.5 R15                2
VZE1               215/65 R15              2
DVRM               9.5 R17.5               2
REP                295/75 R22.5U           2
VU                 235/70 R16              2
DVUM3B             205/75 R17.5            2
PBA10              315/80 R22.5            2
VM530L             11 R22.5                2
VCBS               245/70 R19.5            1
VCB                245/70 R19.5            1
VCB                235/75 R17.5            1
VDY                295/80 R22.5            1
VZE1               225/75 R17.5            1
REP                10.5 R15                1
REP                12 R16.5                1
REP                255/70 R16              1
VZE1               215/70 R16              1
VHF                385/65 R22.5            1
REP                205/65 R16              1
REP                225/75 R17.5            1
REP                265/75 R16              1
VM530L             215/65 R15              1
VT50L               R15                    1
REP                215/70 R17.5            1
REP                215/75 R15              1
REP                245/75 R16              1
VZE1               235/70 R16              1
VT50L              7.5 R15                 1
PBA43              235/70 R15              1
VZY2               295/80 R22.5U           1
VZE2               12 R22.5                1
VZY2               215/75 R17.5            1
VFS                265/75 R16              1
REP                205 R16                 1
VFS                215/75 R16C             1
VFS                205/70 R16              1
PBA60              275/70 R22.5            1
VDE2               235/75 R17.5            1
PBA43              225/75 R15              1
REP                295/80 R22.5U           1
PBA11              235/75 R17.5            1
PBA43              275/80 R22.5            1
PBA43              235/60 R15              1
PBA43              215/75 R17.5U           1
DVRL               12 R22.5                1
REP                265/65 R17              1
VM530L             235/65 R16              1
PBA60              11 R22.5                1
VWHL               12 R20                  1
DVRM               235/75 R17.5            1
PBA43              215/70 R16              1
PBA60              7 R15                   1
REP                275/45 R20              1
SC1                7 R15                   1
REP                7 R15                   1
CU                 215/75 R17.5            1
REP                215/70 R15              1
VZE2               195/75 R16              1
REP                275/65 R17              1
RZT50L             8 R16                   1
REP                215/65 R16              1
VDE1               225/75 R16              1
VU                 195/70 R15              1
VM530L             310/80 R22.5            1
REP                185/65 R15              1
REP                385/65 R22.5            1
DV-RT4             235/75 R17.5            1
REP                425/65 R22.5            1
VU                 235/75 R17.5            1
MTM                205/75 R17.5            1
